Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Armored Truck Driver,General Business,65,28,227,0.123348018,High School Diploma,31500,905,65%,3,34.94
Correctional Officer,Administrative & Office Support,65,37,280,0.132142857,Master's Degree,120000,1083,65%,8,35.34
Deputy Director,General Business,65,122,829,0.147165259,Master's Degree,120000,1026,65%,8,38.66
Forensic Chemist,Public Safety & Government,65,54,423,0.127659574,High School Diploma,35000,980,65%,3,36.05
Safety Consultant,Public Safety & Government,65,73,765,0.095424837,Master's Degree,80000,1060,65%,3,37.21
Security Dispatcher,Information Technology,65,84,774,0.108527132,Certification / Professional,65000,1737,65%,3,37.53
Cad Operator,Architecture & Engineering,65,123,921,0.133550489,Associate Degree,40500,1121,65%,2,38.86
Cad Technician,Information Technology,65,124,922,0.134490239,Associate Degree,45000,1647,65%,2,38.89
Game Artist,Media & Entertainment,65,190,1453,0.130763937,High School Diploma,35000,734,65%,3,41.68
Radiology Assistant,Healthcare,65,68,480,0.141666667,Associate Degree,40500,1874,65%,0,36.59
Sonographer,General Business,65,57,412,0.138349515,High School Diploma,35000,990,65%,3,36.16
Ultrasonographer,General Business,65,59,438,0.134703196,High School Diploma,35000,913,65%,3,36.24
Vascular Sonographer,General Business,65,57,434,0.131336406,High School Diploma,35000,1033,65%,3,36.17
Vascular Technician,Information Technology,65,57,434,0.131336406,Associate Degree,45000,1768,65%,2,36.17
Vascular Technologist,Information Technology,65,57,434,0.131336406,Bachelor's Degree,60000,1937,65%,3,36.17
X Ray Technician,Information Technology,65,59,437,0.135011442,Associate Degree,45000,1563,65%,2,36.24
Cleaner,Manufacturing & Labor,65,6,27,0.222222222,High School Diploma,31500,742,65%,3,34.9
Hospital Housekeeping,Information Technology,65,8,33,0.242424242,High School Diploma,35000,1480,65%,3,35.16
Assembly Operator,Manufacturing & Labor,65,59,495,0.119191919,Associate Degree,40500,773,65%,2,36.29
Electronic Assembler,Manufacturing & Labor,65,59,497,0.118712274,High School Diploma,35000,686,65%,3,36.29
Line Operator,Manufacturing & Labor,65,58,488,0.118852459,Associate Degree,40500,846,65%,2,36.25
Survey Researcher,General Business,65,165,1079,0.15291937,Doctorate / PhD,100000,760,65%,6,40.22
Web Content Manager,Media & Entertainment,65,322,2266,0.142100618,Master's Degree,120000,860,65%,5,46.56
Electrical Drafter,Architecture & Engineering,65,123,920,0.133695652,High School Diploma,35000,1028,65%,3,38.86
Structural Designer,Architecture & Engineering,65,130,965,0.134715026,Bachelor's Degree,60000,1085,65%,3,39.13
Medical Biller,Healthcare,65,137,832,0.164663462,Associate Degree,45000,1966,65%,3,39.06
Sales Associate,Sales & Marketing,65,169,1197,0.141186299,High School Diploma,35000,1132,65%,3,40.57
Business Banking Relationship Manager,Finance & Banking,65,166,1126,0.147424512,Master's Degree,120000,1255,65%,5,40.34
Janitor,Information Technology,65,9,138,0.065217391,High School Diploma,35000,1409,65%,3,33.77
Autocad Drafter,Architecture & Engineering,65,162,1598,0.101376721,High School Diploma,35000,1005,65%,3,41.49
Assistant Director,Administrative & Office Support,65,135,989,0.136501517,Master's Degree,120000,1166,65%,0,39.3
Executive Personal Assistant,Administrative & Office Support,65,128,1018,0.125736739,Master's Degree,120000,1142,65%,0,39.2
Pricing Specialist,General Business,65,164,1163,0.141014617,Bachelor's Degree,78000,1234,65%,2,40.38
Ticket Agent,General Business,64,93,834,0.111510791,High School Diploma,35000,1042,64%,3,37.4
Contract Specialist,General Business,63,162,1161,0.139534884,Bachelor's Degree,78000,1155,63%,2,39.33
Freelancer,General Business,63,120,974,0.123203285,High School Diploma,35000,1081,63%,3,37.9
Requirements Analyst,Finance & Banking,62,180,1595,0.112852665,Doctorate / PhD,130000,948,62%,3,40.35
Seo Consultant,Sales & Marketing,61,166,1338,0.12406577,Master's Degree,80000,1176,61%,3,38.86
Seo Manager,Sales & Marketing,60,166,1334,0.124437781,Master's Degree,120000,1324,60%,5,38.35
Seo Specialist,Sales & Marketing,60,168,1356,0.123893805,Bachelor's Degree,78000,1377,60%,2,38.45
Creative Project Manager,Media & Entertainment,60,169,1604,0.105361596,Master's Degree,120000,836,60%,5,39.15
Erp Project Manager,General Business,60,162,1497,0.108216433,Master's Degree,120000,1078,60%,5,38.7
Healthcare Project Manager,Healthcare,60,169,1539,0.109811566,Master's Degree,120000,1884,60%,5,38.97
Product Manager,General Business,60,195,1732,0.112586605,Master's Degree,120000,1184,60%,5,40.05
Project Consultant,General Business,60,183,1636,0.111858191,Master's Degree,80000,1028,60%,3,39.53
Project Manager,General Business,60,190,1686,0.112692764,Master's Degree,120000,1151,60%,5,39.82
Customer Assistant,Administrative & Office Support,60,167,1340,0.124626866,Associate Degree,40500,1081,60%,0,38.38
Drafter,Architecture & Engineering,60,165,1622,0.101726264,High School Diploma,35000,1072,60%,3,39.12
Junior Architect,Information Technology,60,148,1581,0.093611638,Bachelor's Degree,78000,1816,60%,0,38.65
Space Planner,Architecture & Engineering,60,162,1553,0.104314231,High School Diploma,35000,1085,60%,3,38.86
Truss Designer,Architecture & Engineering,60,160,1521,0.105193951,Bachelor's Degree,60000,1131,60%,3,38.73
Urban Planner,Architecture & Engineering,60,164,1559,0.105195638,High School Diploma,35000,1054,60%,3,38.92
Insurance Sales,Sales & Marketing,60,135,1031,0.130940834,High School Diploma,35000,1105,60%,3,36.9
Insurance Sales Representative,Sales & Marketing,60,135,1031,0.130940834,High School Diploma,35000,1154,60%,3,36.9
Life Insurance Agent,Insurance,60,133,1025,0.129756098,High School Diploma,35000,1093,60%,3,36.83
Java Software Engineer,Information Technology,60,110,796,0.138190955,Bachelor's Degree,78000,1638,60%,3,35.78
Java Web Developer,Information Technology,60,110,796,0.138190955,Bachelor's Degree,78000,1968,60%,2,35.78
Junior Developer,Information Technology,60,114,810,0.140740741,Bachelor's Degree,78000,1677,60%,0,35.91
Performance Analyst,Finance & Banking,60,176,1339,0.131441374,Doctorate / PhD,130000,923,60%,3,38.58
Risk Management Analyst,Finance & Banking,60,197,1658,0.118817853,Doctorate / PhD,130000,915,60%,3,39.88
Salesforce Business Analyst,Finance & Banking,60,208,1694,0.122786305,Doctorate / PhD,130000,995,60%,3,40.21
Data Analyst,Finance & Banking,60,217,1405,0.154448399,Doctorate / PhD,130000,955,60%,3,39.63
Database Architect,Information Technology,60,170,1564,0.108695652,Bachelor's Degree,78000,1797,60%,3,39.06
Health Data Analyst,Finance & Banking,60,206,1372,0.150145773,Doctorate / PhD,130000,977,60%,3,39.31
Sql Dba,General Business,60,147,1447,0.101589496,High School Diploma,35000,1067,60%,3,38.24
Sql Server Dba,General Business,60,148,1455,0.101718213,High School Diploma,35000,1088,60%,3,38.29
Shipping Clerk,Administrative & Office Support,60,141,1102,0.127949183,High School Diploma,31500,916,60%,0,37.2
Timekeeper,General Business,60,97,843,0.115065243,High School Diploma,35000,1041,60%,3,35.52
Administration,Administrative & Office Support,60,108,879,0.122866894,High School Diploma,35000,1030,60%,3,35.89
Administrative Director,Administrative & Office Support,60,120,937,0.128068303,Master's Degree,120000,1030,60%,8,36.32
Assistant Administrator,Administrative & Office Support,60,119,926,0.128509719,Bachelor's Degree,54000,1087,60%,0,36.27
Compliance Analyst,Finance & Banking,60,187,1309,0.142857143,Doctorate / PhD,130000,1004,60%,3,38.75
Front Desk Coordinator,Administrative & Office Support,60,105,855,0.122807018,High School Diploma,35000,966,60%,5,35.76
Office Clerk,Administrative & Office Support,60,98,822,0.119221411,High School Diploma,31500,923,60%,0,35.51
Operations Clerk,Administrative & Office Support,60,108,890,0.121348315,High School Diploma,31500,924,60%,0,35.91
Procurement Clerk,Administrative & Office Support,60,115,907,0.126791621,High School Diploma,31500,995,60%,0,36.13
Receiver,General Business,60,50,311,0.160771704,High School Diploma,35000,917,60%,3,33.43
Registration Clerk,Administrative & Office Support,60,85,710,0.11971831,High School Diploma,31500,1087,60%,0,34.93
Registration Specialist,General Business,60,90,756,0.119047619,Bachelor's Degree,78000,1132,60%,2,35.16
Unit Secretary,Information Technology,60,96,834,0.115107914,High School Diploma,35000,1482,60%,3,35.48
Healthcare Business Analyst,Finance & Banking,60,206,1671,0.123279473,Doctorate / PhD,130000,903,60%,3,40.1
Surgery Scheduler,General Business,60,81,815,0.099386503,High School Diploma,35000,990,60%,3,35.04
Post Office,Administrative & Office Support,60,73,516,0.141472868,High School Diploma,35000,1035,60%,3,34.29
Demand Planner,Architecture & Engineering,60,154,1120,0.1375,High School Diploma,35000,935,60%,3,37.55
Logistics Coordinator,Logistics & Supply Chain,60,158,1201,0.131557036,High School Diploma,35000,1032,60%,5,37.83
Procurement Agent,Logistics & Supply Chain,60,156,1123,0.138913624,High School Diploma,35000,1008,60%,3,37.6
Purchasing Coordinator,Logistics & Supply Chain,60,158,1201,0.131557036,High School Diploma,35000,1160,60%,5,37.83
Shipping Coordinator,Logistics & Supply Chain,60,160,1175,0.136170213,High School Diploma,35000,1184,60%,5,37.82
Supply Chain Coordinator,Logistics & Supply Chain,60,157,1200,0.130833333,High School Diploma,35000,1099,60%,5,37.81
Supply Coordinator,Logistics & Supply Chain,60,156,1196,0.130434783,High School Diploma,35000,1006,60%,5,37.78
Assignment Editor,Information Technology,60,148,1187,0.124684078,High School Diploma,35000,1461,60%,3,37.57
Front Desk Agent,Administrative & Office Support,60,108,878,0.123006834,High School Diploma,35000,978,60%,3,35.89
Radio Operator,Manufacturing & Labor,60,124,890,0.139325843,Associate Degree,40500,739,60%,2,36.32
Manual Qa Tester,Information Technology,60,121,1053,0.114909782,Certification / Professional,65000,1841,60%,3,36.61
Manual Tester,General Business,60,121,1016,0.119094488,High School Diploma,35000,913,60%,3,36.52
Coldfusion Developer,Information Technology,60,108,735,0.146938776,Bachelor's Degree,78000,1902,60%,2,35.62
Computer Scientist,Information Technology,60,118,779,0.151476252,Doctorate / PhD,130000,1287,60%,6,35.97
Drupal Developer,Information Technology,60,108,776,0.139175258,Bachelor's Degree,78000,1961,60%,2,35.69
Java,General Business,60,103,740,0.139189189,High School Diploma,35000,1020,60%,3,35.49
Java Developer,Information Technology,60,109,769,0.141742523,Bachelor's Degree,78000,1973,60%,2,35.7
Java Engineer,Information Technology,60,110,796,0.138190955,Bachelor's Degree,78000,1751,60%,3,35.78
Java Programmer,Information Technology,60,110,796,0.138190955,Bachelor's Degree,60000,1758,60%,3,35.78
Java Software Developer,Information Technology,60,110,796,0.138190955,Bachelor's Degree,78000,1770,60%,2,35.78
Home Inspector,General Business,60,69,521,0.13243762,High School Diploma,35000,940,60%,3,34.16
Biomedical Engineer,Information Technology,60,102,732,0.139344262,Bachelor's Degree,78000,1624,60%,3,35.45
Biotechnology,Information Technology,60,97,694,0.139769452,High School Diploma,35000,1422,60%,3,35.25
Environmental Engineer,Information Technology,60,115,757,0.151915456,Bachelor's Degree,78000,1781,60%,3,35.85
Industrial Organizational Psychologist,General Business,60,90,685,0.131386861,High School Diploma,35000,940,60%,3,35.03
Accounts Payable,Finance & Banking,60,154,1154,0.133448873,High School Diploma,35000,1157,60%,3,37.63
Auditor,Information Technology,60,162,1260,0.128571429,High School Diploma,35000,1528,60%,3,38.07
Budget Analyst,Finance & Banking,60,165,1165,0.141630901,Doctorate / PhD,130000,1012,60%,3,37.91
Collection Agent,General Business,60,173,1283,0.134840218,High School Diploma,35000,1021,60%,3,38.37
Collection Representative,General Business,60,181,1646,0.109963548,High School Diploma,35000,920,60%,3,39.52
Collection Specialist,General Business,60,184,1663,0.110643416,Bachelor's Degree,78000,1091,60%,2,39.63
Collections Specialist,General Business,60,184,1663,0.110643416,Bachelor's Degree,78000,1177,60%,2,39.63
Compliance Auditor,Information Technology,60,190,1329,0.142964635,High School Diploma,35000,1554,60%,3,38.86
Cost Controller,General Business,60,195,1655,0.117824773,High School Diploma,35000,953,60%,3,39.83
Credit Controller,Information Technology,60,192,1647,0.116575592,High School Diploma,35000,1619,60%,3,39.75
Debt Collector,General Business,60,182,1357,0.134119381,High School Diploma,35000,1045,60%,3,38.76
Exchange Engineer,Information Technology,60,149,1158,0.128670121,Bachelor's Degree,78000,1727,60%,3,37.52
Financial Engineer,Information Technology,60,192,1635,0.117431193,Bachelor's Degree,78000,1761,60%,3,39.71
Financial Examiner,Finance & Banking,60,192,1325,0.14490566,Bachelor's Degree,60000,1572,60%,3,38.89
Loan Closer,Finance & Banking,60,178,1593,0.111738858,High School Diploma,35000,1081,60%,3,39.31
Mortgage Closer,General Business,60,149,1193,0.124895222,High School Diploma,35000,1039,60%,3,37.61
Mortgage Loan Closer,Finance & Banking,60,149,1193,0.124895222,High School Diploma,35000,1271,60%,3,37.61
Processor,General Business,60,131,1133,0.115622242,High School Diploma,35000,1033,60%,3,37.04
Trader,Finance & Banking,60,161,1479,0.108857336,High School Diploma,35000,1094,60%,3,38.63
Treasury Accountant,Finance & Banking,60,183,1563,0.117082534,Bachelor's Degree,60000,1372,60%,3,39.33
Clinical Analyst,Finance & Banking,60,201,1666,0.120648259,Doctorate / PhD,130000,894,60%,3,39.99
Meter Reader,General Business,60,28,240,0.116666667,High School Diploma,35000,916,60%,3,32.42
Gas Station Attendant,General Business,60,28,239,0.117154812,High School Diploma,35000,962,60%,3,32.42
Lactation Consultant,General Business,60,72,540,0.133333333,Master's Degree,80000,1101,60%,3,34.28
Ticket Taker,General Business,60,54,349,0.154727794,High School Diploma,35000,1019,60%,3,33.56
Usher,General Business,60,52,355,0.146478873,High School Diploma,35000,905,60%,3,33.47
911 Dispatcher,Public Safety & Government,60,133,1008,0.131944444,High School Diploma,35000,964,60%,3,36.8
911 Operator,Manufacturing & Labor,60,133,1007,0.132075472,Associate Degree,40500,745,60%,2,36.79
Fingerprint Technician,Information Technology,60,116,1076,0.107806691,Associate Degree,45000,1660,60%,2,36.55
Forensic Examiner,Public Safety & Government,60,125,1385,0.090252708,High School Diploma,35000,972,60%,3,37.59
Forensic Scientist,Public Safety & Government,60,129,1396,0.092406877,Doctorate / PhD,130000,656,60%,6,37.71
Intelligence,Public Safety & Government,60,148,1439,0.102849201,High School Diploma,35000,893,60%,3,38.24
Military Analyst,Information Technology,60,168,1517,0.110744891,Doctorate / PhD,130000,1089,60%,3,38.88
Safety Coordinator,Public Safety & Government,60,1,2,0.5,High School Diploma,35000,940,60%,5,35.02
Security Technician,Information Technology,60,117,854,0.137002342,Associate Degree,45000,1663,60%,2,36.07
Skip Tracer,General Business,60,103,745,0.138255034,High School Diploma,35000,1085,60%,3,35.5
Information Analyst,Finance & Banking,60,155,1192,0.130033557,Doctorate / PhD,130000,930,60%,3,37.74
Information Specialist,General Business,60,153,1186,0.129005059,Bachelor's Degree,78000,1283,60%,2,37.68
Network Systems Administrator,Information Technology,60,126,1371,0.09190372,Bachelor's Degree,60000,1829,60%,3,37.58
Senior Systems Engineer,Information Technology,60,129,1344,0.095982143,Bachelor's Degree,78000,1768,60%,3,37.56
Software Engineer,Information Technology,60,133,1342,0.099105812,Bachelor's Degree,78000,1855,60%,3,37.65
Systems Administrator,Information Technology,60,132,1398,0.094420601,Bachelor's Degree,60000,1676,60%,3,37.78
Systems Analyst,Information Technology,60,168,1558,0.107830552,Doctorate / PhD,130000,1158,60%,3,39
Unix Administrator,Administrative & Office Support,60,125,1355,0.092250923,Bachelor's Degree,60000,1100,60%,3,37.51
Unix System Administrator,Administrative & Office Support,60,121,1340,0.090298507,Bachelor's Degree,60000,1109,60%,3,37.38
Vmware Administrator,Administrative & Office Support,60,125,1355,0.092250923,Bachelor's Degree,60000,1309,60%,3,37.51
Windows Administrator,Administrative & Office Support,60,121,812,0.149014778,Bachelor's Degree,60000,1308,60%,3,36.1
Windows System Administrator,Administrative & Office Support,60,121,812,0.149014778,Bachelor's Degree,60000,1257,60%,3,36.1
